SubjID, LLatVent,RLatVent,Lthal,Rthal,Lcaud,Rcaud,Lput,Rput,  Lpal,Rpal,Lhippo,Rhippo,Lamyg,Ramyg,Laccumb,Raccumb,ICV
Yale_50565,4026,3838.4,6834.9,6846.5,3156,3545.4,6571,6326.7,2069.9,1719.7,4357.9,4306.6,1846.3,2282.4,840.5,686,1.40181e+06
Yale_50566,4728.3,3742.1,5978.3,6481.2,3614.9,4071.9,6534.7,5780.5,1848.7,1756.7,4085.1,4297.5,1693.8,1828.3,747.8,834.1,1.39084e+06
Yale_50567,4114.7,3380.2,6892.9,6685.9,3220.1,3512.2,7063.9,6573.4,1351.1,1496.2,4375.9,4353.4,1877.9,1804.5,731.9,812.5,1.48466e+06
Yale_50568,4130.2,3963.4,6367.1,6849.8,3162.4,3299.7,5641.8,6269.4,1500.4,1312.5,2814.4,4598.7,2010.6,2134.4,821.3,629.7,1.45621e+06
Yale_50569,3346.4,2817.5,7497.4,6856.3,2923.5,3224.7,5343.7,5012.7,1513.2,1425,3578.4,3422.2,1567.7,1576.1,896.9,781.3,1.20742e+06
Yale_50570,17714.2,22240.9,8492.3,8777.9,4676.8,4739.9,7348.9,7191.2,1933.3,2025.6,4288.2,4211.1,1739,1644.5,778.9,743.4,1.6566e+06
Yale_50571,8055.2,5437,6302.1,6820.4,3274.8,3574,7168.8,6514.5,1811.7,1717.2,4406.3,4107.7,1676.9,1912.6,702.3,812.2,1.43969e+06
Yale_50572,9323.3,7323.8,7825.9,7559.1,3488.9,3708.2,6808.9,5840.8,1873.6,1555.2,4224.5,4141.4,1573.3,1501,763.4,596.8,1.44637e+06
Yale_50573,2633.2,3358.1,6652.4,7151.5,3355.6,3693.9,7598.8,7065.8,1957.4,1659.5,4170.1,4102.7,1582.1,1509.9,920.3,808.2,1.2833e+06
Yale_50574,4721.8,5538.5,6989.3,7409.6,4384.2,5437.9,6825.9,6852.1,1529.8,1568.5,3838.4,3741.4,1287.7,1627.7,1120.6,896.3,1.59454e+06
Yale_50575,15102.6,12588.8,7497.8,8126.7,3845.7,4235.7,7176.8,6462.6,2027.4,1793.9,4683,4836.6,2214.9,2018.6,802.5,1121.3,1.61329e+06
Yale_50576,3674.9,2868.9,5659.8,5806.2,3411.7,3568.1,6657.5,6089.5,1636.5,1375.9,3922.2,3698.2,1501.2,1664.6,774.5,750,1.22592e+06
Yale_50577,3574.3,4326.3,6397.5,6878.8,3557.9,3592.8,7188,6276.7,1795.9,1356,4112.2,3998.2,1703.7,1846.8,788.7,728.6,1.34458e+06
Yale_50578,3794.7,3100.8,7467.6,6774,3922.2,3944.3,7414.4,6543.5,1723.7,1489.8,4393.6,4259.6,1924.3,1954.2,838.1,847.7,1.32754e+06
Yale_50601,8924,4466.9,6820.1,6492.4,3580.7,3706.3,7610.2,6777.7,1860.9,1589.8,4080.4,4042.6,2149.1,2001.7,955.9,828.7,1.36191e+06
Yale_50602,6785.8,4034.7,7232.1,7092,5189.4,4720.4,7415.9,7110.1,2034,1767.4,4340.6,4276.3,1660.4,1992.2,645.5,747,1.45169e+06
Yale_50603,5684.8,6868.7,9253,8543.5,3956.2,4772.5,7641.4,7127,2656.8,2089.8,4743.3,4543.2,1547.9,1523.1,871,880.8,1.47847e+06
Yale_50604,3979.9,3646,6914.8,6958.8,3940.9,4109.1,6387.2,5902.4,2042.6,1678.7,4400.3,4417,1402.9,1339.7,731.2,677.9,1.40395e+06
Yale_50605,6672.7,6882.6,8328.7,7692.7,4696.2,5041.2,7061.3,6142.3,2998,2419.4,4212.7,4245.5,1602.8,1740.4,846.5,946.4,1.67539e+06
Yale_50606,4357.2,3912.1,8353.7,7309.8,4576.5,4249.8,8417.2,8190.5,3297.7,2459.4,4757.1,4473,1703.4,1821.9,837.1,742.2,1.51375e+06
Yale_50607,2805.3,2470,8726,8192.9,3833.3,4102.1,6589.3,7041.3,2468.9,1683.3,5212.1,5159.9,1991.4,1853.4,939.7,815.3,1.67453e+06
Yale_50608,3431.6,3902.9,9115.6,8778.3,4334.8,4956.9,7108.9,7659.8,2641.9,2267.9,4585,4801.6,2112.3,1948.7,815.1,936.4,1.42987e+06
Yale_50609,3370.8,2647.5,7529.3,7964,3445.3,3753,7276.8,6464.5,2261.7,2021.8,4340.8,4114.8,1342.6,1196.6,893,796.2,1.49355e+06
